federal state,County town,Companies,Name,road,Postal code,place,Internet,E-Mail,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,,summer opening times (hours by week),Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,,Winter opening times (hours by week),Remarks,longitute,latitude
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Herbolzheimer Str.,74861,Neudenau,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,16:30,19:00,,,,,,,,9:00,13:00,,,,,,,,,14:00,17:00,,,,,,,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.2672156,49.2880082
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Schafgasse 9,74196,Neuenstadt am Kocher,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,14:00,18:30,,,,,14:00,18:30,,9:00,13:00,,,,,,,,,14:00,18:30,,,,,14:00,18:30,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.3295157,49.2336495
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Maybachstraße,74226,Nordheim,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,17:00,19:00,,,,,,,,14:00,18:00,,9:00,13:00,,,,,,17:00,19:00,,,,,,,,14:00,18:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.129424,49.111391
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Austraße,74172,Neckarsulm,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,16:00,19:00,,,,,9:00,13:00,,,,,,,,,,,,13:00,16:00,,,,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.2029582,49.1911828
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Robert-Bosch-Straße,74182,Obersulm,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,16:00,19:00,,14:00,18:00,,9:00,13:00,,,,,,,,,,,,16:00,19:00,,14:00,18:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.3606483,49.1340633
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Hirschfeld ,74229,Oedheim,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,14:00,18:00,,9:00,13:00,,,,,,,,,,,,,,,14:00,16:30,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.23245,49.24052
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Talweg 1,74254,Offenau,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,14:00,17:00,,9:00,13:00,,,,,,,,,,,,,,,14:00,17:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.1647,49.2426
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Blumenstraße,74397,Pfaffenhofen,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,,,,9:00,13:00,,,,,,,,,,,,,,,,,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,8.9724486,49.0653571
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Bittelbronner Str.,74255,Roigheim,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,,,,8:30,13:00,,,,,,,,,,,,,,,,,,8:30,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.3393814,49.3598253
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Steinhäldenstraße,74193,Schwaigern,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,16:00,19:00,,,,,14:00,17:00,,9:00,13:00,,,,,,,,,14:00,17:00,,,,,14:00,17:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.067172,49.1353686
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,(ehem. Hausmülldeponie),74193,Schwaigern - Stetten,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,7:45,16:30,,7:45,16:30,,7:45,16:30,,7:45,16:30,,7:45,16:30,,9:00,11:30,,,7:45,16:30,,7:45,16:30,,7:45,16:30,,7:45,16:30,,7:45,16:30,,9:00,11:30,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März; Mo.-Fr. Mittagspause von 12:00 - 13:00 Uhr,9.0088474,49.1318919
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Mührigweg,74936,Siegelsbach,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,,,,9:00,13:00,,,,,,,,,,,,,,,,,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.0749936,49.2693658
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Alter Rauher Stich,74388,Talheim,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,14:00,18:00,,9:00,13:00,,,,,,,,,,,,,,,14:00,17:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.1851091,49.0972133
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Im Kressgraben 17,74257,Untereisesheim,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,16:30,19:00,,,,,,,,9:00,13:00,,,,,,,,,14:30,16:30,,,,,,,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.20639,49.20791
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Mühlweg,74199,Untergruppenbach,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,16:30,19:00,,14:30,17:00,,9:00,13:00,,,,,,,,,,,,14:30,17:00,,14:30,17:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.2759764,49.0839095
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,hinter der Hasenmühle ,74189,Weinsberg,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,16:00,19:00,,15:00,18:00,,9:00,13:00,,,,,,,,,,,,16:00,19:00,,15:00,18:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.2906759,49.1596723
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Unter der Autobahnbrücke,74259,Widdern,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,,,,9:00,13:00,,,,,,,,,,,,,,,,,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,9.4155546,49.3163829
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Weihenbronn,71543,Wüstenrot,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,11:00,17:00,,9:00,13:00,,,,,,,,,,,,,,,11:00,16:00,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März; Fr. Mittagspause von 12:00 - 14:00 Uhr ,9.4760836,49.0938013
Baden-Württemberg,Landkreis Heilbronn,Landratsamt Heilbronn,Recyclinghof,Eugen-Zipperle-Straße,74374,Zaberfeld,https://www.landkreis-heilbronn.de/recyclinghoefe.1013.htm,Norbert.Raatz@landratsamt-heilbronn.de,,,,,,,,,,,,,13:30,16:30,,9:00,13:00,,,,,,,,,,,,,,,13:30,16:30,,9:00,13:00,,,Weitere Email: Abfallwirtschaftsbetrieb@landratsamt-heilbronn.de; Sommer-Öffnungszeiten: 1. April - 30. September Winter-Öffnungszeiten: 1. Oktober - 31. März,8.9288022,49.0642136
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Otto-Lilienthal-Straße ,74626,Schwabbach,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=302,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,,,,,,,,,,,16:00,18:00,,,,,,,,,,,,,9.412049,49.186951
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Sonnenhalde,74677,Dörzbach,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=303,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.7000059,49.3869895
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Sindringer Str.,74670,Forchtenberg,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=304,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.5131645,49.291584
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Brückenstraße,74238,Krautheim,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=305,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.613901,49.3679319
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Klebweg,74653,Künzelsau,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=306,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,14:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,9:00,18:00,,,,,,,,9:00,12:00,,,Winterzeit: mittwochs Mittagspause von 12:30 - 14:00 Uhr ,9.6834853,49.282816
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Jagstbrücke,74673,Mulfingen,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=307,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.8049843,49.3464288
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Riedweg 7,74632,Neuenstein,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=308,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.56894,49.2047
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Bahnhofstraße,74676,Niedernhall,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=309,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.6180887,49.2939398
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Austraße,74613,Öhringen,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=310,info@abfallwirtschaft-hohenlohekreis.de,10:00,18:30,,10:00,18:30,,10:00,18:30,,10:00,18:30,,10:00,18:30,,9:00,13:00,,,10:00,18:30,,10:00,18:30,,10:00,18:30,,10:00,18:30,,10:00,18:30,,9:00,13:00,,,Mo.-Fr. Mittagspause von 12:00 - 16:30 Uhr ,9.4898153,49.2047693
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Kuhallmand,74613,Öhringen,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=311,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.4987383,49.1967572
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Halsberger Str. ,74214,Schöntal-Bieringen,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=312,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.5227445,49.3398028
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Recyclinghof,Albert-Schweitzer-Straße,74638,Waldenburg,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=313,info@abfallwirtschaft-hohenlohekreis.de,,,,,,,16:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.623637,49.1822458
Baden-Württemberg,Hohenlohekreis,Abfallwirtschaft Hohenlohekreis,Wertstoffhof,Stäffelesrain 1,74635,Kupferzell,https://www.abfallwirtschaft-hohenlohekreis.de/index.php?id=314,info@abfallwirtschaft-hohenlohekreis.de,,,,8:30,12:00,,14:00,18:00,,,,,8:30,12:00,,8:30,12:00,,,,,,8:30,12:00,,14:00,18:00,,,,,8:30,12:00,,8:30,12:00,,,,9.7053905,49.2116265
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Kaiserstraße 80,74572,Blaufelden,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,13:00,16:30,,,,,13:00,16:30,,,,,8:00,12:30,,,,,,13:00,16:00,,,,,13:00,16:00,,,,,9:00,12:00,,,Sommerzeit April - Oktober  Winterzeit November- März,9.9664478,49.2994262
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Breitwiesenweg,74424,Bühlertann,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.9097632,49.036004
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Friedrich-Bergius-Straße 21,74564,Crailsheim,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,9:00,12:00,,9:00,17:00,,13:00,17:00,,,,,8:30,12:00,,,,,,9:00,12:00,,9:00,17:00,,13:00,17:00,,,,,9:00,12:00,,,Sommerzeit April - Oktober  Winterzeit November- März; mittwochs Mittagspause von 12:00 - 13:00 Uhr ,10.05343,49.13143
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,(Erddeponie),74579,Fichtenau,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,15:00,18:00,,,,,,,,9:00,12:00,,,,,,,,,15:00,18:00,,,,,,,,9:00,12:00,,,,10.2315651,49.0537695
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Obere Riedwiesen,74427,Fichtenberg,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,16:00,18:00,,,,,,,,,,,15:00,18:00,,,,,,16:00,18:00,,,,,,,,,,,15:00,18:00,,,,,,,9.7215271,48.986201
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Gaildorfer Str.,74586,Frankenhardt,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,,,,,,,15:00,17:30,,9:00,12:00,,,,,,,,,,,,,,,15:00,17:30,,9:00,12:00,,,,9.9785543,49.0777613
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Ottendorfer Str. 2,74405,Gaildorf,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,9:00,17:00,,,,,13:00,17:00,,,,,9:00,12:00,,,,,,9:00,17:00,,,,,13:00,17:00,,,,,9:00,12:00,,,dienstags Mittagspause von 12:00 - 13:00 Uhr ,9.75828,49.00262
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Haller Str. 20,74582,Gerabronn,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.91979,49.24682
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Almarstraße 2,74532,Ilshofen,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,15:00,18:00,,,,,,,,9:00,14:00,,,,,,,,,15:00,18:00,,,,,,,,9:00,14:00,,,,9.9425249,49.1690026
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Kornmarktstraße 18,74594,Kreßberg,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,16:00,18:00,,,,,,,,,,,9:00,12:00,,,,,,16:00,18:00,,,,,,,,,,,9:00,12:00,,,,10.2398,49.13462
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Im Seetal 45,74535,Mainhardt,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,16:00,18:00,,,,,,,,9:00,14:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,Sommerzeit April - Oktober  Winterzeit November- März,9.5667908,49.075347
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Strietwiesen beim Häckselplatz,74420,Oberrot,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,17:00,19:00,,,,,,,,9:00,12:00,,,,,,,,,17:00,19:00,,,,,,,,9:00,12:00,,,,9.6624732,49.0112078
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Crailsheimer Str. 30,74585,Rot am See,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,15:00,18:00,,,,,16:00,19:00,,,,,,,,,,,,15:00,18:00,,,,,16:00,19:00,,,,,,,10.0301077,49.2452974
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Ellrichshäuser Str.,74589,Satteldorf,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,,,,17:00,19:00,,,,,9:00,12:00,,,,,,,,,,,,17:00,19:00,,,,,9:00,12:00,,,,10.0893372,49.170569
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Sigisweiler Str.,74575,Schrozberg,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.9747076,49.3328754
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Entsorgungszentrum Hasenbühl,Im Hasenbühl 10,74523,Schwäbisch Hall,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,9:00,17:00,,,,,9:00,18:00,,,,,9:00,17:00,,9:00,13:00,,,9:00,17:00,,,,,9:00,18:00,,,,,9:00,17:00,,9:00,13:00,,,Die Problemsammelstelle ist nur mittwochs von 13:00 - 18:00 Uhr geöffnet; Mo Mi Fr Mittagspause von 12:00 - 13:00,9.7949349,49.1039651
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Breiteichstraße 101,74523,Schwäbisch Hall,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,9:00,17:00,,,,,9:00,17:00,,,,,9:00,18:00,,,,,,9:00,17:00,,,,,9:00,17:00,,,,,9:00,16:00,,,Sommerzeit April - Oktober Winterzeit November- März,9.7114659,49.1174185
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Kocherweg 15,74429,Sulzbach-Laufen,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.84065,48.96352
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Talstraße 28,74547,Untermünkheim,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,,,,,,16:00,18:00,,,,,,,,9:00,12:00,,,,9.75203,49.15812
Baden-Württemberg,Schwäbisch Hall,Landratsamt Schwäbisch Hall,Wertstoffhof,Heidweg 10,74599,Wallhausen,http://www.lrasha.de/de/buergerservice/abfallwirtschaft/entsorgungsanlagen/wertstoffhoefe/,info@LRASHA.de-mail.de,16:00,18:00,,,,,,,,,,,16:00,18:00,,,,,,16:00,18:00,,,,,,,,,,,16:00,18:00,,,,,,,10.0718828,49.2168198
Baden-Württemberg,Main-Tauber-Kreis,Landratsamt Main-Tauber-Kreis,Kreismülldeponie,Heegwald 1,97877,Wertheim,http://www.main-tauber-kreis.de/Landratsamt/Service/Abfallwirtschaft/Entsorgungseinrichtungen/index.php?La=1&NavID=2177.102&object=tx2177.6694.1&kat=&kuo=2&sub=0,,8:30,16:00,,8:30,16:00,,8:30,16:00,,8:30,16:00,,8:30,16:00,,10:00,12:00,,,9:00,16:00,,9:00,16:00,,9:00,16:00,,9:00,16:00,,9:00,16:00,,10:00,12:00,,,Kontaktformular: http://bit.ly/2qgr3ww; Mo.-Fr. Mittagspause von 12:00 - 12:30 Uhr; Sommerzeit März - Oktober  Winterzeit November - Februar,9.4659563,49.714197
Baden-Württemberg,Main-Tauber-Kreis,Landratsamt Main-Tauber-Kreis,Recyclinghof,Wilhelm-Frank-Straße 45,97980,Bad Mergentheim,http://www.main-tauber-kreis.de/Landratsamt/Service/Abfallwirtschaft/Entsorgungseinrichtungen/index.php?La=1&NavID=2177.102&object=tx2177.6718.1&kat=&kuo=2&sub=0,,,,,13:00,17:00,,,,,13:00,17:00,,,,,9:00,17:00,,,,,,13:00,17:00,,,,,13:00,17:00,,,,,9:00,14:00,,,Sommerzeit März - Oktober  Winterzeit November - Februar; Kontaktformular Christian Gruber: http://bit.ly/2pbZzby  Kontaktformular Michael Schinnagel: http://bit.ly/2qS0Nom,9.74981,49.4999
Baden-Württemberg,Main-Tauber-Kreis,Landratsamt Main-Tauber-Kreis,Recyclinghof,(auf dem Gelände der Kläranlage Unterschüpf),97944,Boxberg ,http://www.main-tauber-kreis.de/Landratsamt/Service/Abfallwirtschaft/Entsorgungseinrichtungen/index.php?La=1&NavID=2177.102&object=tx2177.6718.1&kat=&kuo=2&sub=1,,,,,,,,15:00,17:00,,,,,,,,9:00,11:00,,,,,,,,,15:00,17:00,,,,,,,,9:00,11:00,,,Kontaktformular Christian Gruber: http://bit.ly/2pbZzby  Kontaktformular Michael Schinnagel: http://bit.ly/2qS0Nom,9.6502987,49.4723473
